"filename", "language", "JSON", "Java Properties", "Markdown", "Groovy", "Java", "Batch", "comment", "blank", "total"
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\.wpilib\wpilib_preferences.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\WPILib-License.md", "Markdown", 0, 0, 22, 0, 0, 0, 0, 3, 25
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\build.gradle", "Groovy", 0, 0, 0, 64, 0, 0, 21, 21, 106
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 41, 32, 22, 95
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\settings.gradle", "Groovy", 0, 0, 0, 28, 0, 0, 0, 3, 31
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\simgui-ds.json", "JSON", 92, 0, 0, 0, 0, 0, 0, 1, 93
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\deploy\pathplanner\navgrid.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\Constants.java", "Java", 0, 0, 0, 0, 17, 0, 14, 10, 41
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\LimelightHelpers.java", "Java", 0, 0, 0, 0, 1171, 0, 465, 311, 1947
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\Main.java", "Java", 0, 0, 0, 0, 8, 0, 3, 5, 16
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\Robot.java", "Java", 0, 0, 0, 0, 57, 0, 4, 23, 84
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\RobotContainer.java", "Java", 0, 0, 0, 0, 117, 0, 23, 23, 163
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\Telemetry.java", "Java", 0, 0, 0, 0, 89, 0, 17, 16, 122
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\commands\AlignToTag.java", "Java", 0, 0, 0, 0, 46, 0, 2, 9, 57
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\commands\ClimberSetSpeed.java", "Java", 0, 0, 0, 0, 26, 0, 3, 9, 38
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\commands\ExtendIntake.java", "Java", 0, 0, 0, 0, 16, 0, 3, 6, 25
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\commands\IntakeSetSpeed.java", "Java", 0, 0, 0, 0, 26, 0, 3, 9, 38
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\commands\LoaderSetSpeed.java", "Java", 0, 0, 0, 0, 24, 0, 3, 6, 33
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\commands\RetractIntake.java", "Java", 0, 0, 0, 0, 16, 0, 3, 6, 25
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\commands\SetClimberPosition.java", "Java", 0, 0, 0, 0, 33, 0, 4, 12, 49
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\commands\ShooterSetSpeed.java", "Java", 0, 0, 0, 0, 27, 0, 3, 10, 40
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\generated\TunerConstants.java", "Java", 0, 0, 0, 0, 167, 0, 83, 37, 287
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\subsystems\Climber.java", "Java", 0, 0, 0, 0, 68, 0, 2, 15, 85
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\subsystems\CommandSwerveDrivetrain.java", "Java", 0, 0, 0, 0, 189, 0, 123, 31, 343
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\subsystems\IntakeMotor.java", "Java", 0, 0, 0, 0, 39, 0, 0, 10, 49
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\subsystems\IntakePneumatics.java", "Java", 0, 0, 0, 0, 27, 0, 0, 7, 34
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\subsystems\Loader.java", "Java", 0, 0, 0, 0, 31, 0, 0, 8, 39
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\subsystems\Shooter.java", "Java", 0, 0, 0, 0, 39, 0, 0, 10, 49
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\src\main\java\frc\robot\subsystems\llPoseDistance.java", "Java", 0, 0, 0, 0, 19, 0, 10, 7, 36
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\tuner-project.json", "JSON", 232, 0, 0, 0, 0, 0, 0, 0, 232
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\vendordeps\PathplannerLib-2026.1.2.json", "JSON", 38, 0, 0, 0, 0, 0, 0, 0, 38
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\vendordeps\Phoenix6-26.1.0.json", "JSON", 449, 0, 0, 0, 0, 0, 0, 0, 449
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\vendordeps\REVLib.json", "JSON", 133, 0, 0, 0, 0, 0, 0, 0, 133
"c:\Users\warpspeed\Documents\Robotics\Repos\2026-Rebuilt\vendordeps\WPILibNewCommands.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 1, 40
"Total", "-", 990, 7, 22, 92, 2252, 41, 821, 633, 4858
